iter	Passed	Remaining
0	148	147941
1	149	74775
2	151	50389
3	153	38277
4	155	30956
5	157	26047
6	159	22587
7	160	19940
8	162	17892
9	164	16276
10	166	14930
11	167	13799
12	169	12838
13	171	12049
14	172	11357
15	174	10754
16	176	10226
17	178	9744
18	180	9305
19	182	8919
20	183	8570
21	185	8248
22	187	7957
23	189	7696
24	190	7434
25	192	7194
26	193	6989
27	195	6786
28	196	6593
29	198	6423
30	200	6264
31	201	6107
32	203	5960
33	205	5825
34	206	5702
35	208	5578
36	209	5457
37	211	5359
38	213	5263
39	215	5171
40	216	5074
41	218	4991
42	220	4907
43	222	4824
44	223	4746
45	225	4668
46	226	4591
47	227	4521
48	229	4454
49	231	4390
50	232	4326
51	234	4266
52	235	4215
53	237	4158
54	238	4104
55	240	4053
56	242	4006
57	243	3957
58	245	3910
59	246	3863
60	248	3819
61	249	3774
62	250	3731
63	252	3689
64	253	3649
65	255	3613
66	256	3576
67	258	3542
68	260	3509
69	261	3478
70	263	3447
71	265	3415
72	266	3389
73	268	3362
74	270	3332
75	271	3303
76	273	3276
77	274	3248
78	276	3221
79	277	3194
80	279	3174
81	281	3150
82	282	3119
83	283	3096
84	285	3072
85	286	3050
86	288	3025
87	289	3002
88	291	2981
89	292	2960
90	294	2941
91	295	2920
92	297	2903
93	299	2883
94	300	2863
95	302	2845
96	303	2828
97	305	2812
98	307	2794
99	308	2779
100	310	2763
101	311	2746
102	313	2730
103	315	2714
104	316	2697
105	318	2683
106	319	2668
107	321	2652
108	322	2638
109	324	2623
110	325	2608
111	327	2592
112	328	2577
113	330	2566
114	331	2552
115	333	2538
116	334	2522
117	336	2512
118	337	2500
119	339	2489
120	341	2477
121	342	2465
122	344	2453
123	345	2440
124	346	2427
125	348	2417
126	354	2436
127	356	2427
128	357	2416
129	359	2405
130	361	2395
131	362	2385
132	364	2374
133	365	2363
134	367	2355
135	369	2345
136	370	2336
137	372	2326
138	374	2317
139	375	2307
140	377	2298
141	378	2287
142	380	2278
143	381	2268
144	383	2259
145	384	2249
146	386	2241
147	387	2231
148	389	2221
149	390	2212
150	392	2204
151	393	2195
152	394	2186
153	396	2177
154	397	2169
155	399	2161
156	401	2153
157	402	2146
158	404	2140
159	406	2131
160	407	2121
161	408	2112
162	410	2105
163	411	2098
164	413	2091
165	414	2083
166	416	2075
167	418	2070
168	419	2062
169	421	2055
170	422	2048
171	424	2042
172	425	2034
173	427	2027
174	428	2020
175	430	2014
176	431	2007
177	433	1999
178	434	1992
179	436	1986
180	437	1980
181	439	1973
182	440	1966
183	442	1960
184	443	1953
185	444	1946
186	446	1940
187	447	1934
188	449	1928
189	450	1921
190	452	1915
191	453	1910
192	455	1904
193	456	1898
194	458	1891
195	459	1885
196	461	1879
197	462	1873
198	464	1867
199	465	1861
200	467	1857
201	468	1851
202	470	1845
203	471	1839
204	473	1835
205	474	1830
206	476	1824
207	477	1818
208	479	1813
209	480	1807
210	481	1801
211	483	1796
212	484	1791
213	486	1787
214	487	1781
215	489	1776
216	490	1770
217	492	1766
218	493	1761
219	495	1756
220	496	1751
221	498	1746
222	499	1741
223	501	1736
224	502	1731
225	504	1726
226	505	1722
227	507	1718
